state,county,tract,kfr_pooled_pooled_p25,par_rank_pooled_pooled_mean,kid_pooled_pooled_n,kid_black_pooled_n,geoid
17,31,381400,0.30007243,0.24912912,383.0,368.0,17031381400
17,31,381500,0.31647024,0.1580116,710.0,704.0,17031381500
17,31,381700,0.2204016,0.12697437,0.0,0.0,17031381700
17,31,381800,0.27921864,0.2426744,393.0,390.0,17031381800
17,31,381900,0.31574675,0.26115444,453.0,447.0,17031381900
17,31,390100,0.27054086,0.3401843,382.0,367.0,17031390100
17,31,390200,0.25633851,0.29170144,520.0,506.0,17031390200
17,31,390300,0.28055948,0.22031875,726.0,710.0,17031390300
17,31,390400,0.29041806,0.32499126,766.0,724.0,17031390400
17,31,390500,0.31064886,0.47786537,436.0,340.0,17031390500
