geoid,Threshold,jobs
17031040900,40,208516.40389500424
17031040900,45,609082.9585097375
17031040900,50,964270.0575783234
17031040900,55,1112965.8357324302
17031040900,60,1200635.5461473328
17031050100,5,767.6636740331492
17031050100,10,3658.9620165745855
17031050100,15,10661.496546961323
17031050100,20,25421.72237569061
17031050100,25,49704.84046961326
17031050100,30,89906.26450276242
17031050100,35,164961.27900552485
17031050100,40,448337.14848066296
17031050100,45,830712.9330110498
17031050100,50,1025946.1180939226
17031050100,55,1144793.257596685
17031050100,60,1215223.0379834254
17031050200,5,356.35717123559795
17031050200,10,2194.725069527215
17031050200,15,7575.478744537148
17031050200,20,17952.210170838298
17031050200,25,39528.00437028208
17031050200,30,74126.32578466428
17031050200,35,116816.22367898292
17031050200,40,205646.87604290823
17031050200,45,525433.9022646007
17031050200,50,909244.8549860944
17031050200,55,1101014.2824791418
17031050200,60,1212423.142232817
17031050300,5,348.2859116022099
17031050300,10,1401.542817679558
17031050300,15,5454.650552486188
17031050300,20,15113.341160220994
17031050300,25,35354.2976519337
17031050300,30,66534.31215469613
17031050300,35,108135.96477900552
17031050300,40,178529.84392265193
17031050300,45,426554.8791436464
17031050300,50,816090.6325966851
17031050300,55,1085361.8197513812
17031050300,60,1212026.3964088398
17031050500,5,166.7045735475896
17031050500,10,1303.1672847136383
17031050500,15,7581.538936959208
17031050500,20,22964.57478368356
17031050500,25,47171.820766378245
17031050500,30,82422.19571487432
17031050500,35,136360.8829831067
17031050500,40,308786.1063040791
17031050500,45,721478.3576431809
17031050500,50,995713.8397198188
17031050500,55,1129366.543881335
17031050500,60,1218419.1462711166
17031050600,5,1075.9356435643565
17031050600,10,3931.901697312589
17031050600,15,12308.667609618104
17031050600,20,28671.75247524753
17031050600,25,59356.41018387553
17031050600,30,104053.67821782178
17031050600,35,227515.39179632248
17031050600,40,601266.6527581329
17031050600,45,909049.27864215
17031050600,50,1061856.085572843
17031050600,55,1162727.6753889674
17031050600,60,1227251.204384724
17031050700,5,277.03887688984884
17031050700,10,3315.1112311015117
17031050700,15,13143.22030237581
17031050700,20,30569.893088552915
17031050700,25,63162.22786177106
17031050700,30,113833.72786177104
17031050700,35,272952.7678185745
17031050700,40,720782.227861771
17031050700,45,959571.6187904968
17031050700,50,1090338.3693304537
17031050700,55,1174784.2742980565
17031050700,60,1231503.4902807774
17031050800,5,286.4930114358323
17031050800,10,1730.9390088945363
17031050800,15,8231.214739517154
17031050800,20,25971.851334180432
17031050800,25,53367.19822109276
17031050800,30,93433.290978399
17031050800,35,161109.5756035578
17031050800,40,458482.5933926302
17031050800,45,836029.6963151207
17031050800,50,1046590.9822109276
17031050800,55,1144368.9669631512
17031050800,60,1225003.0762388818
17031050900,5,185.59733333333332
17031050900,10,1138.9853333333333
17031050900,15,6682.557333333333
17031050900,20,24400.101333333332
17031050900,25,48242.892
17031050900,30,83681.00933333334
17031050900,35,145308.732
17031050900,40,364883.26666666666
17031050900,45,756499.764
17031050900,50,1028218.4773333332
17031050900,55,1140682.5986666668
17031050900,60,1220695.5
17031051000,5,361.10538641686185
17031051000,10,1596.2634660421545
17031051000,15,5359.448477751756
17031051000,20,18020.329039812645
17031051000,25,49750.025761124125
17031051000,30,91695.8325526932
17031051000,35,164353.63466042155
17031051000,40,480348.79156908666
17031051000,45,843658.0398126463
17031051000,50,1070626.743559719
17031051000,55,1178028.1920374706
17031051000,60,1280906.619437939
17031051100,5,383.9829424307037
17031051100,10,1718.6705756929637
17031051100,15,6574.091684434968
17031051100,20,21999.945628997863
17031051100,25,52192.0618336887
17031051100,30,99665.93070362472
17031051100,35,179558.05650319828
17031051100,40,534612.8720682303
17031051100,45,878022.1279317697
17031051100,50,1072545.8113006398
17031051100,55,1186047.4051172708
17031051100,60,1287884.1823027718
17031051200,5,208.17486338797815
17031051200,10,1727.311475409836
17031051200,15,7518.716939890711
17031051200,20,25586.00218579235
17031051200,25,55928.97267759563
17031051200,30,108195.50163934426
17031051200,35,236025.22950819673
17031051200,40,686870.6819672132
17031051200,45,956593.300546448
17031051200,50,1089040.280874317
17031051200,55,1176877.8644808745
17031051200,60,1276490.4590163934
17031051300,5,183.29040247678017
17031051300,10,943.7232198142416
17031051300,15,6121.764705882353
17031051300,20,21244.34613003096
17031051300,25,51519.79938080495
17031051300,30,98115.2105263158
17031051300,35,250865.2792569659
17031051300,40,618645.827244582
17031051300,45,943453.693498452
17031051300,50,1071447.1455108358
17031051300,55,1147112.2049535604
17031051300,60,1230521.5157894737
17031051400,5,140.2152671755725
17031051400,10,1267.0916030534352
17031051400,15,5807.961832061069
17031051400,20,20354.5572519084
17031051400,25,49325.86946564885
17031051400,30,95644.99923664122
17031051400,35,212186.44427480915
17031051400,40,551766.2541984733
17031051400,45,889659.7625954199
17031051400,50,1067741.9923664122
17031051400,55,1166079.0328244276
17031051400,60,1256054.2526717556
17031060100,5,135.00522534291312
17031060100,10,1349.6708033964728
17031060100,15,9450.052906596997
17031060100,20,26311.59307642064
17031060100,25,49716.69888961463
17031060100,30,81749.3951665578
17031060100,35,162559.46113651208
17031060100,40,431900.8981058132
17031060100,45,799413.3344219464
